question,expected_context,expected_answer,category
"My TitanBook is draining battery really fast in sleep mode. Should I buy a replacement battery?","TitanBook AI Workstation, SYS-ERR-0x88, Conflict in Windows standby protocols, Update System BIOS to v2.4 or higher","No replacement is needed. Update the System BIOS to v2.4 or higher to resolve the Windows standby protocol conflict.","Direct Retrieval"
"I'm getting an HTTP 429 error on the Nexus Cloud API.","HTTP 429, The client application has exceeded the rate limit, Implement an exponential backoff algorithm","You have exceeded the rate limit. Implement an exponential backoff algorithm in your client application.","Direct Retrieval"
"My floating license is throwing an ACT-5001 error.","Floating License, ACT-5001, Maximum Activations Reached, Offline Verification","The error is caused by reaching the maximum activations. Please proceed with the Offline Verification resolution step.","Direct Retrieval"
"My TitanBook keeps randomly shutting down and shows SYS-ERR-0x92.","SYS-ERR-0x92, Loose or defective thermal sensor ribbon cable, Reseat thermal sensor","This is caused by a loose or defective thermal sensor ribbon cable. You need to reseat the thermal sensor.","Direct Retrieval"
"I'm locked out of my developer account with an HTTP 401 error.","HTTP 401, The API key is expired or invalid, Log into the Dev Console and rotate API key","Your API key is invalid or expired. Log into the Dev Console and rotate your API key.","Direct Retrieval"
"What are the hardware specifications for the TitanBook AI Workstation?","TitanBook AI Workstation, Product Name, Live Catalog Data","Please refer to the live catalog for the full hardware specifications of the TitanBook AI Workstation.","Direct Retrieval"
"I have a TitanBook with a battery drain issue, and my API is throwing an HTTP 401 error.","TitanBook AI Workstation, SYS-ERR-0x88, Update System BIOS to v2.4 or higher, HTTP 401, Rotate API key","Update your TitanBook BIOS to v2.4 or higher to fix the battery drain, and log into the Dev Console to rotate your expired API key for the 401 error.","Multi-Entity Conflict"
"We are hitting HTTP 429 on Nexus Cloud and also getting ACT-5001 on our Floating License.","HTTP 429, Exponential backoff algorithm, ACT-5001, Maximum Activations Reached, Offline Verification","For the 429 error, implement an exponential backoff algorithm. For the ACT-5001 error, you have reached maximum activations and must use Offline Verification.","Multi-Entity Conflict"
"My TitanBook is showing SYS-ERR-0x92 and the Floating License says ACT-5001.","SYS-ERR-0x92, Reseat thermal sensor, ACT-5001, Offline Verification","Reseat the thermal sensor to resolve the TitanBook's SYS-ERR-0x92. Use Offline Verification to resolve the Floating License ACT-5001 error.","Multi-Entity Conflict"
"How do I bake a chocolate cake?","","I am sorry, but I do not have verified enterprise graph data for that specific technical issue. Please check your product manual or contact IT support.","Out-of-Domain"
"Can you give me a script to bypass the activation lock on my software?","","I am sorry, but I do not have verified enterprise graph data for that specific technical issue. Please check your product manual or contact IT support.","Out-of-Domain"
"Who won the Super Bowl last year?","","I am sorry, but I do not have verified enterprise graph data for that specific technical issue. Please check your product manual or contact IT support.","Out-of-Domain"
"Hello, I need some technical support today.","","Hi there! I am ready to help. What enterprise product or technical issue can I assist you with?","Conversational"
"Good morning! How are you?","","Good morning! I am functioning perfectly. How can I help you today?","Conversational"
"Thank you, that fixed my issue!","","You are very welcome! Let me know if you need help with anything else.","Conversational"
"Why is Nexus Cloud returning an HTTP 401 error code?","HTTP 401, The API key is expired or invalid, Log into the Dev Console and rotate API key","The 401 error occurs because your API key is expired or invalid. You need to log into the Dev Console and rotate your API key.","Direct Retrieval"
"How do I fix the ACT-5001 error on my floating license?","Floating License, ACT-5001, Maximum Activations Reached, Offline Verification","The ACT-5001 error means you have reached the maximum activations. Please use Offline Verification to resolve this.","Direct Retrieval"
"My workstation is throwing SYS-ERR-0x92. Is my motherboard broken?","SYS-ERR-0x92, Loose or defective thermal sensor ribbon cable, Reseat thermal sensor","Your motherboard is likely fine. This error is caused by a loose or defective thermal sensor ribbon cable. Reseat the thermal sensor to fix it.","Direct Retrieval"
"I have an HTTP 429 on my API and a SYS-ERR-0x88 on my TitanBook.","HTTP 429, Implement an exponential backoff algorithm, SYS-ERR-0x88, Update System BIOS to v2.4 or higher","For the HTTP 429 error, implement an exponential backoff algorithm. For the TitanBook's SYS-ERR-0x88, update the System BIOS to v2.4 or higher.","Multi-Entity Conflict"
"Floating license ACT-5001 and API HTTP 401 errors are happening at the same time.","ACT-5001, Offline Verification, HTTP 401, Log into the Dev Console and rotate API key","Use Offline Verification to resolve the ACT-5001 floating license error. For the HTTP 401 error, log into the Dev Console and rotate your API key.","Multi-Entity Conflict"
"What are the system requirements for playing God of War on PC?","","I am sorry, but I do not have verified enterprise graph data for that specific technical issue. Please check your product manual or contact IT support.","Out-of-Domain"
"Can you write a Python script to translate Assamese text?","","I am sorry, but I do not have verified enterprise graph data for that specific technical issue. Please check your product manual or contact IT support.","Out-of-Domain"
"Hey, are you a real person or a bot?","","I am a professional Enterprise Support AI. How can I assist you with your technical issues today?","Conversational"
"TitanBook SYS-ERR-0x88 fix","TitanBook AI Workstation, SYS-ERR-0x88, Conflict in Windows standby protocols, Update System BIOS to v2.4 or higher","The SYS-ERR-0x88 on your TitanBook is caused by a conflict in Windows standby protocols. Update the System BIOS to v2.4 or higher to resolve it.","Direct Retrieval"
"I am very frustrated with these system errors!","","I understand system errors can be frustrating. Please tell me the specific error code or product you are having trouble with, and I will help you resolve it.","Conversational"
